r1,r2,r3,r4,r5,r6,r7,r8,label
1332175,1242592,117169,260423,257588,488862,112968,96428,0
238084,240569,35011,85373,168816,191564,111086,109037,0
976765,704418,364291,148163,205078,280568,107187,151038,0
1771904,327859,20201,15275,78726,67827,82581,68346,0
1239886,173861,54210,53399,127140,92719,43792,20937,0
1001426,657297,167524,306717,219650,724314,547983,408418,0
1275107,1050116,195597,204767,146063,288914,127103,171435,0
408669,183329,96630,58961,298872,263166,132781,110064,0
110804,25961,6871,7145,105060,46891,41460,23555,0
884087,604106,630263,153517,290505,180991,38895,113894,0
1991557,625392,213691,215819,196870,132357,90311,42007,0
370303,931109,59225,91465,177945,179299,110245,76132,0
624570,552176,155000,79113,47376,16953,20239,13637,0
613480,605328,96711,632471,202469,419977,189084,277863,0
1941298,476590,179284,37223,272577,201345,42915,18289,0
705334,490647,180878,133758,18318,24469,20680,5885,0
1191699,773627,449077,680787,206089,315987,329175,141287,0
1393516,623046,49964,32146,56316,77455,25294,32383,0
412897,545317,57768,172271,105609,159013,93344,87716,0
659727,492845,431769,458374,207616,182333,100341,98343,0
2476188,386777,31188,181529,101589,96047,30138,35246,0
436631,882198,85122,85028,36341,32057,5765,8913,0
1144007,1132442,263325,289140,168658,112745,91297,125879,0
654825,228430,40644,73872,98866,104591,49740,53585,0
1056741,801786,140669,68507,26334,68465,26197,20541,0
2030160,950763,1031059,98617,812064,336081,136842,61786,0
1660111,1485929,1472049,1041076,114218,401664,543665,376819,0
217106,398982,72986,101547,161543,140029,155982,122985,0
381681,522636,9864,91678,57824,59869,30872,13252,0
1630262,483331,128599,244494,169722,135476,56178,63439,0
1946860,280326,91536,86415,44767,34189,27063,15542,0
2207729,164794,57730,85621,94684,48525,39870,26913,0
1638676,127568,44773,8180,61245,81971,32286,44071,0
1298229,579161,65081,375474,216953,500371,346102,434189,0
444652,411088,219403,300362,275267,340308,43184,36350,0
1602892,61453,287872,63578,116572,115107,43341,31838,0
796517,280494,251569,197437,502367,197666,84779,186342,0
2299830,589548,68364,65907,31960,77138,5630,5899,0
1368517,532387,117601,138430,191059,285273,41417,16081,0
280534,315305,130364,164692,81392,240016,142112,258031,0
296954,223053,29454,123210,195903,227669,80535,49130,0
999634,57001,12142,34451,100658,81684,65829,51813,0
742706,52110,133068,79285,15213,33273,21952,19440,0
610395,43873,138228,54829,143625,186709,170297,84523,0
2631492,366126,45227,56775,32347,107657,106359,37403,0
1858812,3315050,147587,101499,146581,139642,89540,22903,0
571114,356028,4927,109125,51051,55312,14292,44448,0
97876,271001,283695,129721,58269,117124,55264,89924,0
260521,77213,12778,50443,124839,16926,12025,6005,0
867555,330305,191988,267344,143194,109091,85444,109893,0
851524,279670,37649,115179,128693,59891,6984,3973,0
650868,309818,174046,78437,70299,78644,48265,37524,0
826767,295811,66143,75443,149497,125110,8521,3505,0
3042555,1258932,1691379,923366,496973,394614,103308,476111,0
827701,121479,56395,78662,116666,56784,30493,17856,0
898908,149119,92785,273657,235810,299233,113789,126216,0
750926,118518,87441,102968,106492,13563,7570,14393,0
812675,86653,7964,32466,29806,166993,117893,38014,0
1599058,891965,1025225,634417,397880,452892,342702,156774,0
2083601,377734,110457,30844,88841,26832,27579,8450,0
1165653,688314,13126,90840,166905,48522,33273,39174,0
561699,97122,31155,13960,68829,66481,91016,40670,0
1085076,261685,206595,75806,135240,147616,125353,133506,0
805473,705524,387957,255052,113654,277762,230286,177916,0
696568,287824,59390,152440,262054,170068,130077,96533,0
866459,375684,91504,87117,70745,122975,97827,96733,0
964540,714071,220134,55991,163639,79483,68671,42512,0
1380310,83246,10164,79750,76599,96064,25600,18542,0
2222320,1281985,19667,239257,58298,144987,45296,21600,0
226805,137285,32767,9092,15048,101135,83226,43196,0
792246,776314,218954,422930,212492,103879,11609,12086,0
2036351,472647,152452,20842,81003,66348,15170,10453,0
1145305,432939,125634,143581,579023,232074,57395,46625,0
1597314,1555614,381410,218465,651986,435566,56941,34565,0
1830731,1053981,152087,155130,49017,81650,49360,19856,0
742078,155019,23740,77030,37405,67533,52354,59956,0
1164032,784088,36752,24282,19958,32479,31985,9745,0
1307131,237252,157785,179496,216332,203582,35706,23934,0
2547992,772835,108415,279320,167970,96024,110841,65445,0
1654084,262717,128587,99697,25988,62759,29408,40001,0
415801,737666,139704,221962,297297,92920,71170,60934,0
1893280,1513625,135805,238801,194415,108727,55210,36331,0
949296,908103,357014,205032,53385,95061,13498,16573,0
1432643,608091,106443,36142,117839,156114,145424,99085,0
577495,1597672,143864,29297,144072,100600,25221,11057,0
1195219,33174,139552,100034,94647,53650,16020,12654,0
325779,143051,44663,59311,32148,77684,59429,61157,0
1296505,741578,638037,260727,141983,331965,59941,22290,0
1526274,732668,136731,73191,85248,148929,33678,14455,0
1859867,701839,1079880,1385762,2163801,1548624,1468637,1202890,0
1231723,742344,208264,148072,232238,111672,33113,20510,0
1248292,547769,472801,152978,86293,113153,117057,55237,0
188488,404891,19758,282840,296574,170645,18465,8415,0
2460605,361961,125450,155266,81955,42752,14079,2476,0
1346202,1000076,334846,773354,403970,558158,172533,120227,0
548829,91900,16926,118082,91066,53839,25830,62584,0
979311,258466,22109,32502,13276,30054,30424,43964,0
1375487,529425,406413,96625,187352,82685,43446,70985,0
1029594,263411,58863,10096,109035,36930,36823,8768,0
1552112,69581,17119,19453,70982,62727,26544,18652,0
3647435,1057340,203399,178608,93953,94648,39426,36911,0
648457,241449,43683,306514,116121,35844,67092,44102,0
865113,718697,43382,19842,54929,39961,33224,15809,0
1173224,98580,32006,32793,147408,68027,31533,5836,0
2078658,885236,254066,145391,249250,107195,90122,19071,0
3170026,125527,72722,37468,33270,42365,29661,28979,0
1701692,244476,74403,225470,12422,13941,16248,4552,0
363138,843519,72754,10310,49412,98008,13276,28860,0
549711,327978,209136,64071,36702,36291,17400,5481,0
322224,546935,38746,88797,32662,30252,18243,11947,0
654539,64642,28195,53951,124933,10598,3943,2263,0
1371183,303329,38980,26117,13495,78168,38136,10133,0
2727774,484973,117509,52434,27152,45242,13371,19820,0
1036691,551333,113287,92186,62250,41929,8217,8520,0
1079460,375808,154063,70152,18960,34305,6774,20600,0
1628921,1420625,28886,75093,50714,22168,25663,27586,0
331508,348990,121608,17507,24673,30619,10648,23182,0
3007553,323925,29171,48198,62442,27074,21616,8456,0
1303739,77084,90076,135534,57601,42963,7605,1628,0
2674158,454711,102463,64242,14214,22293,18874,8552,0
921027,551846,146412,30012,17549,21541,21496,9980,0
2273110,226424,135591,43821,32847,16058,9730,2276,0
1610980,238880,153684,143112,49057,34312,19964,19885,0
1697872,171395,107929,23533,90551,42786,61627,10637,0
1175384,338406,368146,42872,103090,46246,25830,9230,0
3118985,235703,12536,47143,51544,43408,20350,6722,0
699734,324585,132252,106050,67517,31971,20878,14050,0
1147100,634336,136811,243491,134086,76904,120232,31873,0
1013127,479915,218248,66202,39423,47597,19900,5854,0
2073963,174689,101139,109652,88481,94522,34038,11057,0
1855562,445498,122514,132232,49149,35211,36601,13479,0
1792422,240865,14897,22644,34953,19401,52209,22795,0
428232,706283,18970,26701,43712,69803,35392,11176,0
1903872,377892,51366,110339,79619,37798,34368,38631,0
1258145,639780,64780,62853,49229,20798,24528,15988,0
671964,290560,191324,46402,67820,58484,24744,29766,0
502887,167592,15959,55780,131171,53241,2858,1468,0
615587,306251,83492,85709,42228,38889,41296,53663,0
474605,474937,64532,122372,38772,45032,7350,6669,0
2340358,308955,102916,9864,28701,68133,99946,25528,0
2777265,365725,35366,60995,5296,39843,37755,41473,0
2105210,394056,77146,131110,131887,74772,92838,24939,0
2855875,321271,82721,23044,53749,31584,19491,5794,0
1777287,74174,53510,71925,51810,66169,44195,13869,0
1108780,305586,93384,50657,206117,48478,53142,23005,0
