r1,r2,r3,r4,r5,r6,r7,r8,label
552203,339172,89974,80505,42287,59838,23374,44033,0
813801,454756,130036,37102,77135,41731,10240,7168,0
2226870,425328,392856,43725,27231,41547,58685,40412,0
2759097,406055,71799,14706,42540,19347,11311,3783,0
1742257,678775,99414,41143,221286,95526,43293,28221,0
1203586,767080,430672,91737,183256,165865,61301,15495,0
719473,337809,241795,36912,59277,60856,41159,18197,0
325580,185484,120750,30971,51642,65463,9163,5816,0
1171490,636318,30189,90992,239057,147802,106675,29447,0
570793,1650207,303658,125980,140683,37941,115729,69227,0
2143983,602784,332548,480626,459773,218663,18594,31671,0
1339791,200725,15004,19890,43769,39594,55982,22383,0
2087584,948771,59891,159085,322216,198148,102720,46152,0
1092871,667525,383488,267773,328962,390862,270261,374258,0
441449,903159,67168,38980,46815,32057,46538,42557,0
579616,91255,29121,73053,71527,85839,140714,93161,0
839594,131395,49103,12636,106380,41252,24479,3932,0
1101580,468193,75640,26422,88155,87766,22081,9775,0
783685,973031,38373,20773,40035,14945,15429,4644,0
2667358,622732,229198,145702,99039,16758,11484,12249,0
3516474,414658,111782,133392,90234,223308,51191,48136,0
516553,961564,738160,146192,186229,203457,68145,49494,0
1469611,274671,129128,92793,16112,49395,19028,38057,0
2794940,1871903,670654,271441,187647,285971,21844,37598,0
1780683,563231,145417,80197,34382,18188,31746,28395,0
1334288,204464,245730,30487,34065,23077,13384,18021,0
2921937,195984,66732,37986,51609,17354,21231,6646,0
1837381,267652,132234,16956,133773,27048,12785,6367,0
524120,280637,85558,134612,94442,93918,23937,33272,0
3066140,162097,20995,99779,22741,38963,7085,11204,0
1763790,322542,203965,128048,47585,49424,13574,5504,0
229656,279347,34764,97201,87486,127829,55886,74109,0
2378221,1103121,30158,46453,46856,63894,14344,6750,0
1538367,203381,18202,50468,95298,82251,39450,4821,0
1292415,207989,159462,81689,84139,54505,22502,5100,0
2204881,755803,252139,162299,175178,147773,86247,79245,0
2242940,519780,73895,49271,36081,16415,11282,10997,0
1890883,397211,111659,50090,84814,91796,15906,15689,0
1784096,396607,40276,85883,141403,102517,55409,31548,0
196192,203932,203415,40882,60209,162826,65259,164555,0
999250,362154,93213,22345,45716,41079,18689,47637,0
645078,463467,204181,320437,140410,319797,68211,42654,0
1406981,892223,156167,23119,64946,37300,25208,13147,0
3104557,293849,87091,87720,74737,33202,33608,6351,0
1415022,182859,129668,16531,17889,64677,3535,5739,0
402897,71692,73018,44473,216986,226361,689055,283668,0
904644,161325,187535,53747,25306,21601,10548,15161,0
756352,88436,102855,79932,58041,23061,41982,24394,0
571456,393990,171204,23871,39129,15913,10572,4943,0
1602424,280543,58570,136149,31584,92004,17946,42390,0
1593028,1197792,514194,762184,1259700,1130057,447274,543706,0
1226865,600379,342267,229593,126581,161373,65367,37474,0
1848077,186734,27819,123069,71388,25463,17953,15724,0
771481,514462,324073,387607,195615,79659,34149,33988,0
2215246,1159034,111555,96479,272565,189533,60193,24191,0
914458,2051145,402720,109367,332584,248243,294053,78573,0
2743933,367959,338631,204796,32000,104974,185746,59113,0
2505218,868736,17527,54490,26385,25768,3662,4791,0
237565,49530,10036,47599,71534,57007,54126,13685,0
1016841,54894,12810,13132,47223,122434,124302,19102,0
630113,310703,80681,298563,103787,224951,76656,48109,0
1033704,262880,47916,163386,53196,78574,49675,27916,0
1582052,991306,688126,767431,1218447,698892,989771,375101,0
1895164,412926,346679,273694,175744,344021,126353,52803,0
383986,184819,72546,146762,107361,288361,316084,129022,0
1958125,819483,20476,85377,23495,41029,17909,15735,0
1580685,1510001,71970,366731,738410,1246634,477390,702426,0
529250,107397,9419,100250,119648,50749,76290,49524,0
1349219,664621,198686,518428,544620,462282,189417,161578,0
1007841,911004,86819,84491,26935,38265,21769,10093,0
3327684,645466,19965,20977,9553,9675,4532,2280,0
1267105,2283201,84941,300251,1108522,434906,374826,271151,0
1478570,1241398,39357,41108,21140,82724,55987,22978,0
717449,819339,140655,472698,127226,201070,65856,95389,0
1374435,215711,216228,99351,175209,209363,203825,191403,0
2408345,1045773,114273,119198,191458,149101,105809,104381,0
1020030,473677,59501,54702,70516,70762,49335,42689,0
2264514,1007065,451405,1207984,880168,643580,166754,71769,0
1656998,1372738,67200,882197,1719642,745923,386694,255907,0
706674,242486,54476,180354,113554,168960,180030,124251,0
1212212,582208,1050655,1284971,454770,518024,603413,472837,0
1207504,581492,562350,111181,63635,53601,105104,124738,0
159095,131276,71447,95326,119086,67630,70603,30078,0
782838,180077,33720,44404,49483,220037,44113,54430,0
870101,185468,117152,89395,279783,211946,153728,118531,0
1020804,824251,130067,259774,196625,470924,190652,307004,0
1191120,557668,205761,170646,246637,178613,48928,26088,0
344441,83028,53699,38240,19632,85419,63820,42424,0
644368,121987,56589,65629,115992,219685,122312,102364,0
753540,491783,100490,256686,788890,244785,130558,56779,0
1701852,904050,454788,56229,146868,199171,287631,99014,0
1184672,307706,90745,86274,144872,180015,184458,101027,0
1120205,645977,92738,137982,334356,179141,27668,126697,0
986759,275698,177142,24254,11058,11582,5783,1787,0
123020,132635,72170,143546,108032,85254,113182,67114,0
743380,292934,66190,100026,109785,45881,13752,9903,0
2444427,577872,262652,163908,585011,250798,138009,198956,0
2723022,1388046,725721,319344,650490,1189099,1158999,497053,0
1104551,446076,331031,202001,755056,227722,65170,76869,0
1150578,169850,73665,59834,21641,80933,75462,38136,0
1982303,777674,93016,138531,243732,209182,99685,47985,0
1899380,374338,120982,170567,108540,283397,81843,42183,0
1969885,1217567,1140292,480886,233163,868728,379783,159955,0
185277,344593,35244,143267,77975,108526,112023,68316,0
1458040,812011,174435,142128,191849,251091,213959,84809,0
1209942,133905,362249,142565,148972,130299,85947,107430,0
1301876,592018,44456,527139,112213,197134,49752,41957,0
3012713,670714,70163,66489,76396,32356,7291,6542,0
738007,365984,175322,35382,73787,126039,87013,62046,0
780355,549090,45653,73732,126461,47261,9761,10654,0
1796720,198536,37101,80406,74752,53240,49145,41400,0
631083,439117,69072,115340,52124,82465,14012,7584,0
1558658,92083,3592,79016,46329,47651,30697,31598,0
966848,93727,70993,36376,45755,169550,45519,92016,0
2227780,735808,145651,132042,345426,212681,74239,39270,0
302159,102710,91227,24774,98613,47833,65733,51358,0
228981,861271,39960,15995,27905,33692,11633,4066,0
1824316,480782,378456,36658,244876,162373,404035,137911,0
835503,920062,363878,356361,496012,235421,74822,30910,0
2162445,576837,363898,101303,211564,87940,12845,25282,0
273877,295151,61339,84114,78081,14716,41203,16625,0
1587840,930285,91616,160174,128696,30015,11445,21602,0
2886858,1274706,66726,439472,542091,362659,63432,46664,0
2031051,151135,895,33077,27219,68091,45008,17983,0
1884462,302302,256326,325841,446517,189814,39259,11561,0
2436481,330789,89096,68698,85095,204413,17548,10723,0
1010683,451883,65589,79695,105270,53505,31317,16949,0
665247,832874,90746,45641,22941,19038,14735,18336,0
1239037,1093188,61699,266141,404785,195823,113777,34484,0
894718,1394718,119061,189601,189972,105331,54181,15036,0
2308411,1442256,168144,5573,120526,43080,13779,15115,0
543094,168289,246335,7894,80449,25838,9774,13555,0
763325,187861,162294,71399,17865,37764,73743,13408,0
1834838,552541,185010,65876,34091,47101,24222,8837,0
1586528,168372,60900,195029,122363,63993,16135,13508,0
896877,1084297,168098,111753,40159,19467,12363,22721,0
2310030,465119,280663,174308,59496,32825,15157,21617,0
321095,1140761,250228,24160,76304,49418,20365,23539,0
2171505,369862,90136,72257,115234,15758,4898,8543,0
2202677,448794,63791,225593,131447,89589,64844,36768,0
1428221,782578,210484,453325,119075,211345,112114,60606,0
1019906,523661,125608,81996,46107,56128,10854,16177,0
3550881,386224,133600,127585,96944,37043,8972,3603,0
666247,278963,227112,28546,87637,100439,51013,31086,0
1379525,1731755,836308,312263,453942,618440,606950,219438,0
1498945,210532,15868,35549,144831,110082,157611,88990,0
980052,898630,136291,597993,569852,566599,285984,143447,0
196239,50057,1356,58698,50114,31165,54733,45815,0
334825,819561,34749,154546,69945,169562,93731,58685,0
1797467,1845336,110995,27968,125681,48590,40134,13890,0
687964,261389,108121,165290,202255,97065,71497,38562,0
1978587,1092640,176947,93175,40353,117770,73594,26412,0
1345166,830593,70885,61232,38367,25865,15357,8012,0
916387,753365,89836,229397,41923,75695,19430,22480,0
2051510,2441763,34390,23375,46454,143378,51541,44522,0
2364904,393130,343477,408893,360400,354029,299004,164303,0
491133,338656,82737,309713,180073,117909,144927,99125,0
991797,962361,111812,289517,80474,59504,22113,29647,0
990008,1108608,601576,1151003,770778,437251,233972,215477,0
2317189,811201,48673,97759,172282,58552,9003,11906,0
980271,248353,26828,157491,38003,24260,6201,7449,0
1286702,500863,114116,34366,113916,47539,15404,15508,0
270051,198351,36740,42385,27156,46782,49261,52849,0
713674,351540,129124,31029,98195,25823,22682,7748,0
2187675,566341,22604,5538,16208,19809,10596,5455,0
1495802,425103,250964,133972,142831,70987,98363,77117,0
1316738,1050044,190455,440011,113117,90263,95332,36370,0
667060,132540,104270,164324,71354,75145,36788,25050,0
923062,624821,95110,13158,18908,34666,28986,25303,0
2125382,1219677,213197,34814,52049,23738,8374,18647,0
145458,387255,90012,110190,62437,32047,14890,8973,0
818644,223926,379911,154812,30717,35435,22396,11557,0
838862,772994,69688,57247,20969,52326,9510,7190,0
366490,645592,359936,66822,25085,45344,15084,9691,0
2126932,266840,38740,104521,8906,12980,8722,7288,0
1758177,960315,157841,149858,39044,78881,26331,36962,0
1197176,278640,240278,99037,67954,17369,8941,31270,0
661101,969210,77936,139275,100162,37913,5408,6416,0
2234316,487301,85275,109704,115631,12516,14170,5948,0
422314,483746,105917,76203,34301,20011,5583,6161,0
376041,176961,155885,67709,50168,16791,8715,3854,0
1078647,665056,111376,37563,47738,13205,4894,7322,0
1026583,1169625,21627,48172,37759,13366,10958,4649,0
1921990,1524935,166283,136712,41699,26087,15787,14622,0
605196,584234,219644,80557,93786,73805,25347,17732,0
1908157,312835,161649,79271,68111,17994,42641,9790,0
2742453,335223,160814,46615,31408,48092,13577,4835,0
3035237,910705,121436,216208,115554,91327,43417,63405,0
1280658,362765,94078,258980,113497,59967,10134,3769,0
287038,250626,121873,73312,89816,82792,40463,15968,0
2094846,702696,110628,28376,29100,30462,6391,13545,0
480759,220776,175285,14950,22900,23297,48870,12701,0
17995,88550,140365,100281,74089,58282,46024,25215,0
1462253,652812,161824,84169,17141,12062,13120,8213,0
510892,598754,10054,124195,79864,23111,17993,8472,0
1545012,658214,40934,46052,28935,32465,15697,6080,0
1121764,200245,19069,71237,69973,34583,75465,46569,0
2636860,718379,45104,354149,755751,440893,92329,190581,0
2311242,386425,100900,33387,45717,132204,37753,8106,0
1318980,664888,36381,209412,371841,288353,56224,16054,0
2363785,1618736,120222,82200,41898,15998,7647,7764,0
130452,337002,73344,92756,49484,26095,16865,18733,0
2069651,554936,71764,27461,28344,17284,17000,10638,0
850530,73671,68749,131544,144792,132835,114414,78307,0
595848,328692,48829,38862,47612,68020,84206,46931,0
427373,130971,39438,24290,12638,34831,41898,58224,0
1133842,576714,127389,87767,53516,43522,46517,60466,0
1862543,994108,82588,86617,87761,62215,35193,12114,0
2108956,947476,150527,83090,45414,26459,23244,17961,0
1831514,307687,122290,133756,33475,40731,12083,4405,0
1164074,306044,136451,171690,128319,61310,6593,3805,0
645807,253548,63552,76868,137826,60481,19943,5058,0
785034,304833,8663,30275,143136,40188,13730,9505,0
160589,326460,54439,155958,24677,7899,5653,1046,0
3836742,1038980,68141,59203,65103,22919,11591,9770,0
639764,221888,209494,147857,143884,115204,30048,29337,0
553980,310751,26883,66928,8840,25746,46736,17141,0
1115740,968881,158314,64506,222814,38077,23533,14399,0
2100943,895147,66765,166119,82185,77633,17688,15138,0
1931927,958538,87879,398853,34242,75630,15728,15636,0
201850,426971,40715,44293,81355,16647,9294,11766,0
1482948,602037,33196,141029,58214,16977,9852,6543,0
1572921,699623,52474,91359,170775,17520,30221,4228,0
617131,1257951,282845,532461,60433,53963,10523,12063,0
668098,733095,157397,69329,87544,63053,17332,7079,0
966928,501677,339853,147069,31278,27652,24464,25915,0
473927,1252380,327336,169828,122752,66500,23320,9235,0
409321,941684,45689,97065,66318,56637,16792,9962,0
2358165,252671,314084,107302,50509,17285,11242,8130,0
1434706,576119,37141,72071,69570,41846,14158,7032,0
2642848,828936,152083,126409,89611,64240,28838,11063,0
1852776,308537,277563,65441,47536,34903,23108,4127,0
1993273,594861,80744,29604,62112,49138,14868,9908,0
559681,595837,38281,48741,323851,102751,34803,13200,0
720059,416155,120007,54514,69505,71146,22530,12198,0
1967705,968162,134649,28116,79569,64400,35758,20105,0
1397869,1419181,143930,235181,90679,228737,96539,26711,0
1618134,237170,66031,36113,96603,71730,15491,15759,0
2434648,290008,42881,81608,52466,22608,4255,7089,0
1614347,860728,68364,17768,48282,43796,17070,5271,0
1645928,313445,158338,353057,291592,205448,392546,201152,0
3730978,316646,40590,61362,44103,25226,9176,13816,0
1076191,131246,312625,36196,52097,15881,5746,4853,0
1200842,680221,89768,32643,61865,58403,3864,8350,0
2909970,462724,49652,74524,32438,61394,27934,19878,0
2665347,172034,110907,67569,61603,29780,22475,5453,0
221926,812176,98621,75830,53815,79852,76625,41714,0
928592,380202,104273,33782,107789,62030,11909,4309,0
7783,349848,133908,5887,17670,38739,6037,3969,0
3289274,305500,224938,90125,61106,47237,12414,9776,0
1201346,945480,132538,140547,369746,301996,114745,165632,0
1456375,349941,306566,108845,19679,174673,26336,11074,0
612019,370613,160178,251304,379492,213488,150365,9891,0
1761644,221149,93696,74405,74111,44356,36983,18077,0
1012420,139556,58566,160623,70695,38739,8452,5135,0
902723,93788,64236,109498,179682,77509,31582,39161,0
1323589,427586,235530,24118,27164,22476,11251,9528,0
589754,807243,25221,66803,66303,43525,11509,29338,0
1083276,526177,130376,42296,112471,39823,8846,12499,0
1464896,1044134,61122,34191,42226,25847,14656,11939,0
1987082,1096219,56576,50351,25584,48427,10941,1958,0
2772388,134747,74584,46489,52709,80236,13216,1948,0
1929723,157249,204026,26760,65477,31290,13012,11600,0
1476354,401075,18446,86952,106318,77521,12487,8350,0
1783381,69896,43722,28224,71710,131371,63494,40871,0
2123022,339974,173201,23046,52241,14230,27660,10641,0
2078069,739124,50217,142882,67531,22975,4775,3840,0
2924756,263345,5022,73044,41866,23721,10781,6531,0
2058218,2064736,423662,179578,99758,45389,47346,31181,0
1126551,335980,121774,92605,51840,27596,28116,10694,0
822826,674930,87852,171599,196326,81076,52961,21393,0
2636139,1630508,29969,234124,464435,307748,139529,98292,0
751384,301689,130087,20057,20773,47162,17079,25719,0
1414375,289284,79205,179140,242033,323992,196023,92512,0
1827921,458928,25670,121676,151783,203716,35253,9525,0
1778864,964136,289921,416362,341678,149770,87452,22333,0
3610207,297752,90352,37930,38227,22322,17406,11311,0
1358788,679223,35202,105863,148516,35766,14343,17766,0
1392452,199072,33666,180261,29536,28158,4493,1946,0
1126066,121854,35470,72639,149428,188272,46924,32818,0
1878524,700724,387242,323003,67072,229546,89321,123503,0
2738465,797720,71259,109794,48561,53585,34504,53790,0
1403930,39606,17222,40036,89545,64768,32196,47770,0
3332415,403940,121627,32886,58130,46866,34761,30430,0
1282648,1039869,102602,362231,118906,38381,15875,12392,0
732789,289252,3790,19490,31571,33863,88899,45612,0
1716173,1299735,167105,179173,168221,394943,97471,77887,0
1007704,79773,37867,87072,95544,23089,5177,133509,0
1405876,714458,219074,73661,40597,21389,10671,11383,0
2290419,965100,169591,90940,61837,37974,8808,5890,0
3783788,319165,95089,100563,49250,19733,17103,4496,0
2224268,402827,141914,64014,61587,38840,24539,14372,0
1962068,147177,12865,81687,87716,72579,17076,5479,0
1493767,70104,80694,45278,110205,42168,92447,73454,0
789913,490948,259017,68144,27115,81560,11407,15086,0
669072,213739,27222,170062,27949,60602,17540,17847,0
802876,494353,73196,28870,49230,76812,79016,27238,0
2585684,326895,169315,45471,45854,47870,28446,10991,0
2382252,894526,105948,133713,78285,63551,29484,19911,0
697373,107910,167440,85469,46193,40313,14566,4437,0
1042199,407283,97699,91466,16119,29469,18390,5749,0
1772731,530654,235917,194332,185692,280960,38851,22052,0
979443,100811,216451,43435,13669,14704,6444,5130,0
1767525,685473,94159,77597,83721,36174,21104,13005,0
1319643,985399,158749,451922,91059,118895,73313,99012,0
1568349,541162,103692,138658,31266,39674,13469,11151,0
3073978,1389838,150947,68082,44511,24259,10472,13566,0
912385,545550,136561,61930,22713,30489,23194,9681,0
621974,749063,188472,20359,91876,26995,13908,4600,0
727747,346826,70861,49645,230919,54456,45655,61514,0
1130905,934701,71286,60137,149684,35555,33921,29242,0
2338607,782652,46683,201044,68785,141540,64223,33618,0
2018888,481493,168778,68708,20102,27808,4184,5785,0
2701831,1218914,98383,114740,30478,32772,13811,10684,0
811982,225786,5854,16968,22679,58825,78157,24362,0
1717511,256970,110502,74078,56775,28779,43664,65867,0
2303653,100728,185691,65378,58596,54254,6716,7968,0
309784,405295,169384,18953,138377,69037,42326,12679,0
507542,398219,78086,215279,63276,18623,15686,6177,0
2094513,1771320,94299,60368,41015,69633,11545,9361,0
1403915,506019,49765,49755,43526,138546,37504,28935,0
1003119,310533,23911,109224,197083,120144,22901,21451,0
1773716,430514,22676,45200,23630,16883,20218,29331,0
1518330,749508,27672,73934,39234,20630,14005,17724,0
284549,972083,78156,81440,234868,163431,63081,18575,0
2016656,698326,61516,38410,20476,16295,7368,6491,0
2974109,676302,84991,37316,17435,12961,10268,11674,0
1727964,240325,164505,220838,66271,50433,72135,19821,0
666729,190747,98886,146113,39397,43136,54128,27269,0
449805,370487,116743,51423,37931,113866,63668,33306,0
396860,122227,55162,47797,106315,124322,157150,58936,0
1435640,1334937,62280,97360,19940,104770,11984,9829,0
1362156,124753,43765,102611,46267,48484,41935,13994,0
1288888,245096,297524,36539,39351,107877,108449,85665,0
1192713,633857,47272,43506,87257,92897,57719,48333,0
943601,809131,599422,552036,264107,114046,76826,74521,0
1159346,1186379,12905,60698,48882,28391,18873,38903,0
2036375,899301,83742,66323,17983,20360,36015,33883,0
1127903,1129591,120605,111155,63400,94402,39429,30612,0
2578654,751662,332267,364782,62976,116439,30463,29093,0
699356,1049880,154622,92955,133921,87665,40160,19416,0
1306420,130278,125891,198770,348135,75704,32838,111477,0
2068369,804745,46564,101410,14092,13354,4183,2523,0
1323910,882965,593861,54162,128198,416562,318411,113838,0
1877918,335242,232990,23880,12880,15365,11319,16900,0
1255313,230142,125770,71683,25420,57265,58825,38984,0
1966920,694033,19346,46210,9335,17300,9961,11098,0
450547,50283,4256,27471,52677,93879,40064,40036,0
1190003,266606,246577,227248,172775,87073,37340,35819,0
1798778,185140,203336,235958,51594,168893,69587,21700,0
2985319,207018,170752,78925,46098,59356,31570,21241,0
849914,25895,5202,16854,88857,68853,32856,15868,0
2355571,1066687,370749,350573,206249,193744,201800,66688,0
1067009,1183931,45551,126571,40764,58430,82130,32765,0
1462794,236233,54791,21459,13041,131838,15758,20068,0
1040466,876781,134947,52694,16593,34893,76527,16380,0
1592394,643500,230338,294168,132145,445948,56932,79361,0
1377066,197028,158321,75419,57048,11892,15562,6741,0
2252631,343921,124006,86436,27788,117346,129530,56353,0
885733,350266,135890,60488,74789,24089,32331,19157,0
874397,364565,77839,99256,25764,54475,23447,31337,0
1855747,261523,77364,19416,57386,39500,36858,43091,0
1043680,118568,77096,60573,19906,93476,71414,18182,0
1923927,882837,10749,40935,37409,104433,44810,34949,0
1215350,310333,26821,38062,31900,59960,53534,28569,0
1432643,280558,222187,47654,35145,30643,23066,23355,0
1799571,455448,32248,17895,62401,60436,57035,35777,0
1215764,379671,112612,130059,34820,70504,51845,37370,0
1238489,95571,113453,162046,22409,67106,21969,22744,0
1278893,492695,68559,48324,44610,64502,33293,36830,0
1406005,321768,71687,46446,49520,53951,47667,30309,0
250326,308314,206723,27062,46293,31989,33384,33814,0
2726118,733217,324466,58307,9119,33387,28899,41068,0
1051243,671313,117062,45354,75912,50427,70018,29961,0
1279001,395933,78970,165709,58558,57132,65752,34790,0
1369014,1700951,133502,125459,62560,44166,34870,31172,0
1317941,373581,12651,17496,59153,42534,32037,37326,0
636090,1162887,253807,21460,32493,82030,33771,34542,0
562932,923688,96732,29953,30395,17088,3440,6616,0
1844452,834541,65633,30954,45117,115086,58146,36549,0
460144,178159,53336,47416,75570,24043,56182,9607,0
181007,323088,43319,67375,78701,58570,38721,27597,0
2496218,1122042,114033,51766,31338,52384,76279,37938,0
1462938,421372,36091,27813,64927,21344,24826,67634,0
1208982,280159,40073,17638,40321,46553,29022,46902,0
470614,680113,138108,78306,31519,25027,27351,13380,0
535694,234471,127788,90490,79269,34245,4700,2039,0
1278952,421430,79977,33870,90183,96881,17948,27274,0
1716443,174206,230356,202024,46125,101113,28338,13333,0
2113555,223340,177100,74821,169813,23118,13579,7915,0
436062,370176,54130,86579,35086,67069,59413,32298,0
170487,144628,72311,28190,8636,75610,44995,27535,0
2104545,300744,118293,79586,25102,23472,5298,9934,0
2186788,477805,221833,52531,44546,52475,15777,9577,0
1829682,318307,86212,39877,62586,44630,82845,21480,0
1275696,319443,83176,15659,23459,91440,22622,56192,0
2690882,864060,229775,74098,53361,190471,136236,78205,0
1323252,461150,239876,112352,14355,26517,27955,15672,0
2431642,441224,130645,34436,43960,31812,41277,40295,0
517659,157749,207093,40638,63853,68026,63756,21463,0
598523,135049,23288,48963,58411,77929,25237,30089,0
699933,735506,12548,6843,16990,39226,12162,27887,0
1708569,178035,96309,28288,24812,79285,40274,24452,0
1251699,400155,66445,100473,102087,112421,37728,46077,0
3595861,202575,121131,55109,20913,66250,22131,20541,0
411612,946839,83463,50777,17554,51697,32640,5248,0
1973565,405919,85284,74688,45319,77258,21659,34758,0
1597286,51658,10697,33668,21746,93887,29307,7224,0
1614109,700089,8767,85059,54301,51099,26571,16767,0
1189614,139063,46115,10203,29305,25429,80721,15277,0
1450328,334330,183609,25366,24290,32777,51328,14916,0
1682172,1837494,1186064,165199,162519,137820,151197,79902,0
1134833,171293,69458,132325,33800,52736,51544,51967,0
332110,453309,40914,27729,22167,39885,43755,43899,0
1463334,218439,516864,186721,226190,94230,63018,74804,0
280807,189294,68279,185582,92747,13712,12472,8314,0
1741435,544298,59875,41600,56070,54112,54514,18311,0
1741680,340469,9516,81264,36057,88403,115746,33428,0
873411,144158,123484,130960,105957,29702,24668,9665,0
2101543,185847,15057,25590,40967,66679,18491,37748,0
2140537,121980,182616,77533,38020,44172,67161,48644,0
2081782,582401,25523,35410,31732,50874,48615,29583,0
1846230,949090,101091,71524,103316,86430,40941,20355,0
1069738,563295,55184,80629,8915,59786,30555,8701,0
792238,358536,278073,221727,194656,216618,148367,51615,0
2466603,234178,89912,22862,13275,42476,41755,43015,0
2695754,335571,94247,27881,35860,114745,55437,31789,0
195785,176867,101336,80787,53099,62734,6552,3924,0
2654028,715789,72023,296394,43213,44628,52662,23850,0
419155,164580,54190,73810,11493,68530,51267,7978,0
729097,474100,162973,17184,45804,29817,80213,20002,0
601968,74169,201019,148139,92270,16641,4686,5982,0
3814219,170759,82862,57108,59657,80627,60183,33691,0
1114399,1781760,170709,97819,468935,90197,38598,90065,0
1080898,99511,11887,53898,37147,19046,58962,40476,0
843821,712431,216613,160929,128077,37642,42453,52860,0
3463638,92040,108438,33803,21922,17256,5768,5969,0
635917,501844,32051,14684,33143,63112,111338,77977,0
1831529,390163,129381,120112,18192,172572,49816,46093,0
2639493,425391,217831,82228,10539,23852,62455,14789,0
722828,137216,60597,187458,51617,86133,62879,44791,0
3413370,1437244,609004,323184,69102,137090,246174,85698,0
612530,258193,50616,45310,20236,78274,35795,84396,0
3652701,121287,12555,23690,13926,36270,21835,49201,0
1670765,1272432,304754,70564,77450,180641,331886,42913,0
182398,189212,105487,132393,70104,32966,27530,25498,0
205270,678761,174415,92099,59461,54427,13847,44475,0
1684228,230762,35786,14809,12056,23838,76884,17565,0
1202374,637076,192273,315560,216693,149900,27687,28917,0
68425,200970,60935,14055,12108,42140,37952,48458,0
2081150,957665,15499,58063,26620,48501,16888,23730,0
2105042,990876,162482,21037,36453,142507,53695,43233,0
2766807,1066139,158862,102669,180178,66308,13925,5013,0
2733536,636136,233039,86743,41017,21511,87896,27461,0
1785810,380148,73130,447346,819911,195693,32770,16303,0
1718215,330157,402087,104088,249581,211825,423272,369238,0
1165530,437213,172072,54300,33648,18662,6248,5582,0
1605630,499870,161978,28044,105719,87121,32847,36602,0
1620174,120784,38041,189723,189601,56901,79613,41805,0
1615271,669119,98995,98322,115831,27253,59430,29688,0
2296307,494991,297020,329915,113391,219554,27144,39495,0
2991155,401592,16180,41512,14858,19937,16020,4221,0
202481,728570,27599,8813,129866,62340,30334,6426,0
1636277,928049,480276,172190,115721,137323,237420,96156,0
595627,190166,107433,15099,64110,97983,17980,10503,0
2091930,349523,116004,77513,64193,52591,14113,8295,0
1638269,460483,145862,98894,95761,65169,16897,20813,0
1423154,1063685,364007,776675,320530,291441,42744,26835,0
1097111,209710,68448,79212,37553,113567,12615,7352,0
1896029,375295,79542,7157,27423,45653,27412,10529,0
2887909,518907,11767,32135,29066,24703,14186,5358,0
1325474,528703,136187,32858,16392,40550,30247,38577,0
3274957,281141,66713,82921,77626,18303,20541,4825,0
536339,871316,55358,52174,60013,40247,48443,25019,0
696146,405229,41655,39226,50629,40082,74902,22853,0
3530081,1278048,99368,61007,38308,95378,197707,61240,0
1493304,418154,25458,66682,482093,98793,9505,8584,0
2261207,284282,154324,54844,30586,30396,13394,6886,0
1486512,237906,35992,104295,117140,71893,37938,74567,0
2390820,474468,115365,452408,583379,288887,47208,26995,0
761089,673093,32250,13236,22736,45277,31926,28166,0
1322520,493710,205424,83312,33353,29006,17853,5111,0
554156,496763,61643,75709,42630,10892,53131,12821,0
1331749,1557317,36091,20238,50952,135008,100350,27088,0
323114,680137,92274,99458,59249,50235,10204,7492,0
969041,299243,122153,74449,63051,50208,113433,83206,0
1452941,504787,67700,174544,56456,83406,122982,36173,0
1999532,812452,111001,110043,42656,126752,58003,16409,0
2864002,335735,44448,28226,46432,39194,20578,7991,0
1851676,549423,274664,217266,42253,93244,87006,54971,0
2351481,495858,109843,162896,147079,80405,40227,10694,0
1270997,1263605,122550,132839,46771,97002,119043,79958,0
3273642,317558,271085,93635,154759,43013,85762,43732,0
1930214,524657,50862,52908,28996,8860,3384,2708,0
2913165,473627,35287,43346,79494,36703,27940,22297,0
1036214,205657,100600,72899,48513,26888,61025,24815,0
1388972,476887,210603,7398,35991,42733,6464,8255,0
1127136,1009098,264426,49514,50136,81552,83025,59893,0
1567308,1515787,339598,92575,90847,98726,148749,89879,0
2074390,196079,49316,78897,69303,92254,45239,50342,0
852104,846779,108222,21797,46199,73404,96446,42204,0
1348318,325548,478734,160188,51171,106854,23843,7321,0
1657436,401541,45603,18576,25589,43071,18182,38244,0
2937249,74500,46200,8756,32860,30755,25897,23755,0
2399341,464738,41040,4737,33827,51908,13549,7527,0
968900,397282,9640,12951,16917,85143,45455,24356,0
1376297,429168,6577,71869,77429,16664,48306,12881,0
1076212,1093156,68193,71138,11944,38117,57969,38930,0
970975,65258,54596,74961,14190,48897,24776,34974,0
1348716,214815,336658,76088,55130,41145,61722,34375,0
1535330,247527,29483,25637,15085,24992,26950,49055,0
1080813,1203863,248414,189677,527902,95465,16514,19573,0
569715,463356,186757,21477,38432,94780,79297,15612,0
2155553,600869,92032,30039,54987,24175,26103,7800,0
1412709,915085,535984,310642,419831,848387,123686,36185,0
2254472,1303069,67924,165646,47805,38983,74435,93482,0
864352,302688,10829,92689,17238,51806,8722,6221,0
257715,205789,242107,56564,70799,39510,46600,33806,0
1142583,143326,234190,83702,93658,63879,22756,20166,0
2165168,46686,27322,14066,36768,22541,30951,39151,0
